town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
BEDOK,4 ROOM,92,New Generation,1979,380000
CHOA CHU KANG,5 ROOM,110,Improved,2002,338000
YISHUN,5 ROOM,122,Improved,1988,455000
TAMPINES,4 ROOM,103,Model A,1984,478000
JURONG WEST,5 ROOM,123,Premium Apartment,1998,565000
BUKIT BATOK,4 ROOM,103,Model A,1985,406000
TOA PAYOH,3 ROOM,67,Improved,1970,310000
TOA PAYOH,EXECUTIVE,147,Apartment,1993,840000
BISHAN,3 ROOM,68,Improved,1973,320000
BUKIT PANJANG,4 ROOM,90,Premium Apartment,2004,530000
SENGKANG,EXECUTIVE,134,Premium Apartment,2001,599000
CHOA CHU KANG,3 ROOM,68,New Generation,1981,330000
SENGKANG,4 ROOM,85,Model A2,2001,445000
HOUGANG,EXECUTIVE,148,Maisonette,1987,625000
KALLANG/WHAMPOA,4 ROOM,90,Model A,2006,585000
BUKIT BATOK,4 ROOM,104,Model A,1985,425000
BUKIT BATOK,4 ROOM,107,Model A,1985,505000
WOODLANDS,5 ROOM,111,Improved,2001,450000
SENGKANG,4 ROOM,95,Model A,2013,438000
JURONG WEST,3 ROOM,67,New Generation,1983,308000
TAMPINES,5 ROOM,122,Improved,1988,578000
HOUGANG,4 ROOM,93,New Generation,1985,342000
YISHUN,4 ROOM,83,Simplified,1987,315000
ANG MO KIO,5 ROOM,125,Improved,1993,530000
YISHUN,5 ROOM,125,Improved,1993,533000
QUEENSTOWN,5 ROOM,110,Improved,2000,845000
KALLANG/WHAMPOA,4 ROOM,101,Model A,1997,600000
JURONG EAST,4 ROOM,91,Model A2,1998,430000
BEDOK,4 ROOM,92,New Generation,1978,450000
SENGKANG,5 ROOM,110,Premium Apartment,2006,520000
PUNGGOL,5 ROOM,110,Improved,2004,450000
KALLANG/WHAMPOA,3 ROOM,60,Standard,1969,345000
JURONG EAST,3 ROOM,67,New Generation,1983,280000
HOUGANG,4 ROOM,105,Model A,1990,446000
JURONG WEST,5 ROOM,110,Improved,2000,490000
TAMPINES,3 ROOM,74,Model A,1988,348000
KALLANG/WHAMPOA,3 ROOM,68,New Generation,1979,362000
CHOA CHU KANG,4 ROOM,109,Model A,1996,460000
KALLANG/WHAMPOA,3 ROOM,68,Improved,1979,408000
BUKIT MERAH,4 ROOM,100,Model A,2005,805000
TOA PAYOH,4 ROOM,76,Model A,2009,690000
SENGKANG,EXECUTIVE,134,Premium Apartment,2001,602000
YISHUN,4 ROOM,89,Simplified,1988,341888
YISHUN,5 ROOM,122,Improved,1988,455000
