town,flat_type,floor_area_sqm,flat_model,lease_commence_date,resale_price
22,1,74,5,1984,320000
22,2,94,2,2011,615000
22,1,69,3,1985,350000
21,3,122,3,1992,480000
1,1,80,5,1984,340000
3,3,118,3,2005,498000
22,4,150,1,1993,677500
25,1,74,5,1987,305000
13,3,110,3,2002,465000
19,2,90,5,2004,380000
13,3,110,3,2002,462000
1,1,68,9,1979,388000
22,2,107,5,1996,400000
12,2,83,11,1987,315000
22,1,79,5,1982,325000
21,1,67,9,1984,319000
3,2,104,5,1983,463888
20,3,122,3,1999,578000
21,2,92,9,1985,388000
20,3,110,3,2001,495000
22,1,74,5,1985,360000
13,1,64,11,1986,305000
17,3,114,10,2004,600000
4,2,90,5,2003,674000
14,2,90,5,2006,648000
25,2,93,9,1985,350000
13,2,94,10,2003,336000
21,3,121,3,1986,455000
12,2,105,5,1984,453000
4,1,64,3,1983,325000
5,2,103,5,1998,400000
19,2,93,5,2002,431000
1,1,82,9,1979,365000
20,3,110,3,2001,527000
18,3,117,12,1978,845000
3,1,68,9,1985,265000
0,1,67,9,1978,328000
13,3,110,3,2001,550000
24,1,65,3,1974,298000
18,1,65,3,1978,333000
18,3,117,12,1978,900000
1,1,68,9,1980,299000
13,1,66,3,1974,305000
5,4,142,1,1988,582000
16,4,144,1,1992,690000
21,4,149,4,1992,688000
5,2,90,10,2003,320000
11,4,153,4,1986,750000
3,2,105,5,1989,415000
22,2,104,5,1993,416000
8,3,128,3,1995,425000
10,2,91,9,1980,380000
23,1,65,3,1973,323000
21,1,60,3,1985,253000
22,2,104,5,1988,438000
5,2,103,5,1989,350000
25,4,145,4,1987,645000
16,2,106,5,1992,405088
13,1,61,3,1974,233000
0,1,67,9,1984,310000
5,2,90,10,2002,334000
22,3,124,3,1993,473000
25,3,122,3,1988,440000
5,4,144,1,1998,643000
17,2,90,10,2007,498000
25,4,146,4,1988,585000
1,4,145,1,1993,735000
5,3,120,3,1997,429000
24,2,91,9,1980,282000
22,2,104,5,1988,460000
24,2,103,5,1998,365000
13,3,126,3,1993,490000
12,1,74,5,1983,300000
1,1,59,3,1978,262000
20,2,101,5,1999,453000
14,1,56,12,1970,275000
13,2,94,5,2010,440000
14,2,107,5,1996,610000
23,1,65,3,1976,293000
3,2,99,9,1988,372000
24,2,102,5,1998,405000
0,2,91,9,1980,470000
7,1,60,3,1980,485000
13,3,115,3,2000,600000
13,1,65,3,1976,300000
8,3,110,3,2003,385000
12,1,82,9,1983,338000
25,1,68,3,1985,308000
1,1,65,3,1974,350000
22,3,121,3,1985,528000
3,2,103,5,1997,430000
13,3,110,3,2002,470000
13,3,120,3,1998,488000
8,3,127,3,1996,505000
11,3,120,3,1998,420000
9,1,67,9,1980,400000
13,3,139,6,1985,515000
22,2,108,5,1986,448000
23,2,102,5,1997,640000
22,1,74,5,1986,386000
9,2,97,9,1978,500000
23,1,65,3,1972,320000
20,2,93,5,2013,390000
1,1,65,3,1977,310000
20,2,101,5,1999,440000
24,3,114,10,2003,460000
24,2,104,10,2000,447000
3,4,144,1,1997,800000
25,1,67,9,1985,367000
9,1,67,9,1979,373000
14,2,104,5,1985,505000
13,2,91,5,2000,450000
4,1,53,12,1969,280000
13,2,109,5,1995,442000
3,3,117,3,1997,715000
17,2,92,5,2012,405000
24,1,87,9,1977,333000
20,4,140,1,1999,633000
4,2,107,5,1997,590000
25,2,104,5,1987,370000
24,2,104,10,2000,450000
24,4,144,4,1998,672000
20,2,90,5,2001,453000
0,1,88,9,1977,370000
1,2,91,9,1981,350000
20,2,101,5,1999,461000
13,1,67,9,1985,330000
